cve_id,change_type,date_updated,shard,run_utc
CVE-2017-20241,added,,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2017-20242,added,,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2019-25160,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2019-25162,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2020-36785,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2020-36787,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2020-36788,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2020-36791,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-4454,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46908,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46910,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46911,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46912,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46913,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46921,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46922,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46925,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46929,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46933,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46936,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46948,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46955,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46958,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46960,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46963,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46967,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46969,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46973,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46974,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46977,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46983,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46984,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46989,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46992,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46993,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46998,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-46999,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47001,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47004,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47011,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47012,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47013,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47014,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47017,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47028,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47035,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47036,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47040,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47041,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47048,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47049,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47055,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47060,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47061,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47066,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47068,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47069,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47078,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47081,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47082,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47083,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47087,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47094,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47099,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47102,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47103,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47106,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47107,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47109,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47111,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47112,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47113,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47123,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47124,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47126,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47129,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47130,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47131,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47132,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
CVE-2021-47135,updated,2026-08-05,cve_2022_and_before,2026-08-05T09:33:50+00:00
